experiment_id,condition,combat_enabled,raids_enabled,seed,ticks,status,validation_errors,log_mode,elapsed_seconds,ticks_per_second,output_bytes,structured_event_count,raid_event_count,raid_event_share,final_population,peak_population,final_factions,peak_factions,total_wars,total_deaths,total_births,peak_ram_mb,final_state_hash,manifest_raids_enabled,disabled_layers,code_commit,code_dirty,run_dir
raid-control-pilot-v1,combat_on_raids_on,True,True,1,100,completed,,metrics_only,8.71,11.481056,99375,734,135,0.18392371,226,226,61,61,0,43,239,8.88,afd9290bdeb0cde72a4f0ac7962cdac84d38185275b25e4a77d0ee9f05fb6421,True,,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_100/combat_on_raids_on/seed_1
raid-control-pilot-v1,combat_on_raids_on,True,True,2,100,completed,,metrics_only,7.73,12.936611,93016,648,52,0.08024691,207,208,60,61,0,61,238,7.51,0efb13b264fdaa93048666c1bdbffd502c148aa008fab493632dbe3dd9d98d42,True,,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_100/combat_on_raids_on/seed_2
raid-control-pilot-v1,combat_on_raids_on,True,True,3,100,completed,,metrics_only,5.23,19.120459,79041,671,110,0.16393443,148,176,36,39,1,111,229,6.78,897a0556c2d576faec369bcfac64dbfe6ae88931ffb2ee5100a112a3859ccc8d,True,,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_100/combat_on_raids_on/seed_3
raid-control-pilot-v1,combat_off_raids_on,False,True,1,100,completed,,metrics_only,8.78,11.389522,99397,734,135,0.18392371,226,226,61,61,0,43,239,8.9,10864be46cdf4f6c3a9931164872e324e5aaedf2e3fd6f39a67e8346b4c334b5,True,combat,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_100/combat_off_raids_on/seed_1
raid-control-pilot-v1,combat_off_raids_on,False,True,2,100,completed,,metrics_only,7.93,12.61034,93039,648,52,0.08024691,207,208,60,61,0,61,238,7.41,746d9481fdee3451594b1ee7d947496d8b7601ac8ddaab7446ca243ed5faf0ad,True,combat,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_100/combat_off_raids_on/seed_2
raid-control-pilot-v1,combat_off_raids_on,False,True,3,100,completed,,metrics_only,5.37,18.621974,81439,661,108,0.1633888,165,176,40,40,0,94,229,6.86,52a298d8ad764062f27876b27142cd9ab9f57f250090a1736591de423a3820f1,True,combat,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_100/combat_off_raids_on/seed_3
raid-control-pilot-v1,combat_on_raids_off,True,False,1,100,completed,,metrics_only,7.98,12.531328,90041,558,0,0.0,236,236,57,57,0,33,239,8.6,ae0f543b14649e7ef7cd01ef0c0a9883f48e42320328991321beba6e1724686f,False,raids,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_100/combat_on_raids_off/seed_1
raid-control-pilot-v1,combat_on_raids_off,True,False,2,100,completed,,metrics_only,8.45,11.83432,89659,607,0,0.0,206,206,59,59,0,63,238,7.69,322601a69e7a126834f57755031866076703fe2c42f94809fd6a124015bcdcd9,False,raids,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_100/combat_on_raids_off/seed_2
raid-control-pilot-v1,combat_on_raids_off,True,False,3,100,completed,,metrics_only,5.57,17.953321,77704,543,0,0.0,179,179,35,36,0,80,229,6.67,c1d72990ccb8858a724189f681905b19dfa2a662534583edd2c7c757bc9b4beb,False,raids,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_100/combat_on_raids_off/seed_3
raid-control-pilot-v1,combat_off_raids_off,False,False,1,100,completed,,metrics_only,8.08,12.376238,90061,558,0,0.0,236,236,57,57,0,33,239,8.53,634395003c3d489cded2700c9c3707a798c8853ecca392076ef54b7fcf2b4080,False,combat;raids,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_100/combat_off_raids_off/seed_1
raid-control-pilot-v1,combat_off_raids_off,False,False,2,100,completed,,metrics_only,8.56,11.682243,89677,607,0,0.0,206,206,59,59,0,63,238,7.6,7b98c9a67c573894a0e1b84020715b9c4fb5de3491a54b30b9c5f9f41d9803d9,False,combat;raids,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_100/combat_off_raids_off/seed_2
raid-control-pilot-v1,combat_off_raids_off,False,False,3,100,completed,,metrics_only,5.56,17.985612,77723,543,0,0.0,179,179,35,36,0,80,229,6.65,8d59f70af3a433960a611991017479c7314d9a5cdf723a7a51837aa9857dadab,False,combat;raids,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_100/combat_off_raids_off/seed_3
raid-control-pilot-v1,combat_on_raids_on,True,True,1,250,completed,,metrics_only,49.91,5.009016,318248,3193,1124,0.35202004,225,279,61,92,4,430,617,33.24,f1ad003153e1b26d500519b5178da3074f84aaaf78de0bd0de2bd7648cfab408,True,,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_250/combat_on_raids_on/seed_1
raid-control-pilot-v1,combat_on_raids_on,True,True,2,250,completed,,metrics_only,41.33,6.048875,277450,2738,790,0.28853178,185,229,55,76,6,462,616,26.38,dac5ead49b8baa3d0cfde153b1c75703b98dc3d7068a0d99b0eb6d631a063f30,True,,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_250/combat_on_raids_on/seed_2
raid-control-pilot-v1,combat_on_raids_on,True,True,3,250,completed,,metrics_only,33.59,7.442691,253596,2540,683,0.26889764,214,244,56,74,4,431,607,25.33,4f91e7bb709fc1a83cc25bb5c5f1702ebf421d96b5df919c0f84eb55b376d3d0,True,,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_250/combat_on_raids_on/seed_3
raid-control-pilot-v1,combat_off_raids_on,False,True,1,250,completed,,metrics_only,100.11,2.497253,562322,6738,4364,0.64766993,360,367,137,156,0,287,617,51.44,f42efcbf01f0ba633c1a8a20d829d3f9d7af1c215b65198ce020e0abe827eaab,True,combat,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_250/combat_off_raids_on/seed_1
raid-control-pilot-v1,combat_off_raids_on,False,True,2,250,completed,,metrics_only,103.3,2.420136,556761,6658,4298,0.6455392,376,376,149,164,0,278,616,51.91,dd947973958063f3829de548149c52c7b9d6504e1a96194a47d617ce8b88fe3c,True,combat,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_250/combat_off_raids_on/seed_2
raid-control-pilot-v1,combat_off_raids_on,False,True,3,250,completed,,metrics_only,54.09,4.621926,374392,4201,2161,0.51440133,278,279,111,115,0,359,607,35.8,e666fc6d53e0ac6d76d98e3ba7721963f628f272c2efde9246e24926202b3fd8,True,combat,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_250/combat_off_raids_on/seed_3
raid-control-pilot-v1,combat_on_raids_off,True,False,1,250,completed,,metrics_only,90.68,2.756948,289979,2245,0,0.0,387,395,138,143,0,261,617,48.06,acbcc51e725e571351aa21eab69a942e5eb668c3928ba4e5d23455b3f16e4c4b,False,raids,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_250/combat_on_raids_off/seed_1
raid-control-pilot-v1,combat_on_raids_off,True,False,2,250,completed,,metrics_only,82.39,3.034349,281368,2214,0,0.0,398,399,130,131,0,250,616,40.3,eab1cd5a69d21cf55d0104dbd97f694dee3a586ae36ea44fd1aed07c268c89eb,False,raids,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_250/combat_on_raids_off/seed_2
raid-control-pilot-v1,combat_on_raids_off,True,False,3,250,completed,,metrics_only,39.9,6.265664,227061,1794,0,0.0,342,343,68,73,0,303,607,28.72,b4b81ea67eeb9c904fe6000795ce54aa79a0ac4d6766b9fed01c6014a18e9c68,False,raids,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_250/combat_on_raids_off/seed_3
raid-control-pilot-v1,combat_off_raids_off,False,False,1,250,completed,,metrics_only,90.07,2.775619,289997,2245,0,0.0,387,395,138,143,0,261,617,47.2,d46a773de831dae79c833abd26bedaf698aadcbc60e0587ec8a7f4c5039e6818,False,combat;raids,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_250/combat_off_raids_off/seed_1
raid-control-pilot-v1,combat_off_raids_off,False,False,2,250,completed,,metrics_only,79.3,3.152585,281387,2214,0,0.0,398,399,130,131,0,250,616,40.36,f55155b27045ce56891da0422a26d4b19da6ab7a144177f9d194b00bc9244f68,False,combat;raids,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_250/combat_off_raids_off/seed_2
raid-control-pilot-v1,combat_off_raids_off,False,False,3,250,completed,,metrics_only,39.81,6.279829,227081,1794,0,0.0,342,343,68,73,0,303,607,28.65,059baa29c7c205ab815ebbfd47b10427c4b0bda8e3069e3c1c772c2150140baa,False,combat;raids,f8cb3857077400bd765fbf2832f83e95594b6b3f,True,/home/lfs/Projects/ai-sim-emergent-agents/experiment_runs/raid-control-pilot-v1/ticks_250/combat_off_raids_off/seed_3
